Column1,original,altered
0,"Billy Pettigrew was a geologist, it says.","Billy Pettigrew were a geologist, it says."
4,see what else is in here peter.,see what else are in here peter.
6,It was one of the longest running doll franchises in the United States.,It were one of the longest running doll franchises in the United States.
7,"The name ""Monowi"" means ""flower"" in an unknown Native American language.","The name ""Monowi"" mean ""flower"" in an unknown Native American language."
8,"Horseshoe Bend, Arkansas Horseshoe Bend is a city in Arkansas, United States.","Horseshoe Bend, Arkansas Horseshoe Bend are a city in Arkansas, United States."
9,Schaunard and Colline arrive with a tiny bit of food.,Schaunard and Colline arrives with a tiny bit of food.
10,She's got an attractive face but it's not  it's not stunning.,She've got an attractive face but it's not  it's not stunning.
11,It doesn't matter.,It don't matter.
12,You know how she was.,You know how she were.
19,Where are you?,Where is you?
20,"Scholars explain the confusion by pointing out that Fj?rgyn, as an Old Norse noun, means ""earth"" when used in the feminine form.","Scholars explain the confusion by pointing out that Fj?rgyn, as an Old Norse noun, mean ""earth"" when used in the feminine form."
21,"He actually radiates sunshine and cheer in all directions, and thaws out the natures that have become well nigh frozen from contact with people of the other type.","He actually radiate sunshine and cheer in all directions, and thaws out the natures that have become well nigh frozen from contact with people of the other type."
23,Do you know what sterile means? -,Do you know what sterile mean? -
25,"He was best known for his 1969 ""kubusbank sofa"", now considered a design classic.","He were best known for his 1969 ""kubusbank sofa"", now considered a design classic."
29,There was no end to all the small annoyances which the Dutch admiral was made to suffer.,There were no end to all the small annoyances which the Dutch admiral was made to suffer.
30,"It was villainous, simply jesuitical, and it was all for some special purpose.°±","It were villainous, simply jesuitical, and it was all for some special purpose.°±"
31,"Before the building opened, it was called Burj Dubai.","Before the building opened, it were called Burj Dubai."
33,It is native to Eurasia.,It are native to Eurasia.
36,"'The King was delighted, and the man said,'I will come and fetch it in fourteen days.","The King were delighted, and the man said,'I will come and fetch it in fourteen days."
37,"She is best known for acting in movies in the ""Gremlins"" franchise and for acting in the 1982 movie ""Fast Times at Ridgemont High"".","She are best known for acting in movies in the ""Gremlins"" franchise and for acting in the 1982 movie ""Fast Times at Ridgemont High""."
41,"In a moment they were mounted, their unerring rifles ready for use at a moment°Øs warning.","In a moment they was mounted, their unerring rifles ready for use at a moment°Øs warning."
45,"It made him doubt and, strange to say, it was a painful doubt whether he had indeed found the Unpardonable Sin, and found it within himself.","It made him doubt and, strange to say, it were a painful doubt whether he had indeed found the Unpardonable Sin, and found it within himself."
